win_s,fold,severity,mask_seed,structured,iid,rho
1.0,3,30,2,0.5440015935695012,0.7905150469705572,0.4609227871939736
1.0,4,1,0,0.917293499453935,0.9612376387886802,0.03640047114252061
1.0,4,1,1,0.9314132459501451,0.9574012091627001,0.03039811542991755
1.0,4,1,2,0.9335437405552224,0.9538791708638031,0.02939929328621908
1.0,4,3,0,0.8613350334815318,0.9412732207427404,0.10040989399293286
1.0,4,3,1,0.892230858807748,0.9482766066925676,0.08019787985865724
1.0,4,3,2,0.9093496217253261,0.954292502378656,0.0652343934040047
1.0,4,10,0,0.7001406816633278,0.8846386067028078,0.2464452296819788
1.0,4,10,1,0.7801864501343502,0.9126770012299099,0.18443345111896348
1.0,4,10,2,0.7276160002059844,0.8824824112772635,0.21626383981154298
1.0,4,30,0,0.4992551668737641,0.7060991384022229,0.4711519434628975
1.0,4,30,1,0.5494445706970593,0.7628846348197932,0.4270812720848057
1.0,4,30,2,0.5262522368188608,0.7189596660280398,0.4387090694935218
1.0,5,1,0,0.7798055031487804,0.8325772639254646,0.06207167403043692
1.0,5,1,1,0.8192653377671663,0.8350451377534241,0.03374570446735395
1.0,5,1,2,0.8354161888185195,0.8388318526939189,0.03727049582719686
1.0,5,3,0,0.7792442501877576,0.8287881461942498,0.09475699558173785
1.0,5,3,1,0.79723481853026,0.8371665409993678,0.08833578792341679
1.0,5,3,2,0.7616259667356632,0.8177580737937477,0.1523514972999509
1.0,5,10,0,0.580054868241218,0.7549016792216326,0.29713303878252334
1.0,5,10,1,0.6998686774820975,0.7922086076444151,0.23304860088365242
1.0,5,10,2,0.6921783141405641,0.7571586478801136,0.28135493372606774
1.0,5,30,0,0.5467961322712948,0.6187654194820684,0.4993028964162985
1.0,5,30,1,0.5667359816697247,0.6213903084275358,0.47503190967108494
1.0,5,30,2,0.49499674809508837,0.6106787386217708,0.5026018654884634
1.0,6,1,0,0.813616602534221,0.8633430312323189,0.04857512283423843
1.0,6,1,1,0.813374102115322,0.8639571492809934,0.03251099043185932
1.0,6,1,2,0.8370079635306661,0.8598739692836929,0.08855443496250323
1.0,6,3,0,0.7376008149942298,0.8521540946565055,0.10930437031290406
1.0,6,3,1,0.7705086737259452,0.8569524388346776,0.09729506077062322
1.0,6,3,2,0.6499529141064279,0.8465198789248918,0.19837600206878717
1.0,6,10,0,0.6552606126475026,0.8311770680236589,0.2438582880786139
1.0,6,10,1,0.687250928028524,0.8350155746272376,0.22929402637703647
1.0,6,10,2,0.6297698193437552,0.8202989975789992,0.3084354797000259
1.0,6,30,0,0.4212917124514182,0.6078027565965042,0.5321230928368245
1.0,6,30,1,0.4937228848149493,0.7594061148541301,0.43031807602792865
1.0,6,30,2,0.35785326084247854,0.6133199089090132,0.5350711145590897
1.0,7,1,0,0.8471429265778281,0.8758691159629698,0.014442822384428225
1.0,7,1,1,0.8212983392937253,0.868239465469896,0.06511922141119221
1.0,7,1,2,0.8423618337104147,0.8729243612946339,0.034034063260340634
1.0,7,3,0,0.7963601813814014,0.8555249664739669,0.08229683698296837
1.0,7,3,1,0.7283597528490033,0.8199528293410262,0.13386861313868614
1.0,7,3,2,0.8431186546786164,0.8652630165458889,0.05937712895377129
1.0,7,10,0,0.7586282686630309,0.7203270545491643,0.248661800486618
1.0,7,10,1,0.6292049973456981,0.6983829967051304,0.28821411192214114
1.0,7,10,2,0.7509932258138675,0.7320573404587511,0.23816058394160583
1.0,7,30,0,0.53020237623503,0.5980784901849998,0.4588905109489051
1.0,7,30,1,0.43927692025210896,0.541379300820462,0.5228807785888078
1.0,7,30,2,0.4982817341687978,0.6029983988398722,0.4612652068126521
1.0,8,1,0,0.6768876150296528,0.6989786674437893,0.05423220973782771
1.0,8,1,1,0.6915228218968793,0.702502029202678,0.01644943820224719
1.0,8,1,2,0.6851764191628806,0.6942601082450676,0.05169538077403246
1.0,8,3,0,0.6255812036092726,0.6759897107733543,0.13598002496878903
